OFWM Project ID,Scheme Name,Province,District,Village,Facilitating Partner/Implementer Partner,Contractor,Contract Signed Date,Started Date,Completion Date,Actual end date,Project Cost Afs,Project Status,Length (m),Work Progress (%),Elevation,Long,Lat
M005,Se Nokhuna,Balkh,Khulm,Se Nokhuna,BRAC/CHA,Afghan Maiwand Construction Company,Mar/20/2013,Apr/04/2013,Nov/30/2013,Nov/30/2013,4180591.34,Completed,1425,100,399,67.705889,36.737225
B004,Shah joe Mamoraak,Bamyan,Central of Bamyan,Shah joe Mamoraak,UN-Habitat/CARE International,Waheed Wahaj Construction Company,Apr/9/2013,Apr/29/2013,Aug/10/2014,Sep/25/2014,1936058,Completed,1540,100,2936,67.60934,34.805335
M030,Shah Nader,Balkh,Balkh,Shah Nader,BRAC/CHA,Speen Dara Construction Company,Feb/10/2014,Apr/22/2014,Sep/30/2014,Oct/23/2014,4775657,Completed,1381,100,386,65.763151,36.57719
M011,Shaikh Hasan,Balkh,Balkh,Shaikh Hasan,BRAC/CHA,Alyas Afghan Construction Company,Sep/23/2013,Oct/20/2013,Jun/30/2014,Jun/04/2014,7277193.4,Completed,1720,100,375,66.846825,36.675845
H015,Shakiban Tajiki,Herat,Zendajan,Shakiban Tajiki,CHA,Bakhtar Pairoz Construction Company,May/09/2014,May/14/2014,Oct/25/2014,Dec/11/2014,9524837,Completed,2750,100,840,61.778027,34.38016
H008,Saharkhiz,Herat,Enjil,Sharkhiz,CHA,Bagh Azadi Construction Company,Aug/28/2013,Sep/02/2013,Feb/19/2014,Feb/19/2014,8279781,Completed,3100,100,880,62.002523,34.38538
B030,Sherghondi Scheme,Baghlan,Baghlan-E-Jadeed ,Sherghondi,UN-Habitat/CARE International,Shamal Haidari Construction Company ,Mar/19/2014,Apr/2/2014,Oct/29/2014,Apr/21/2015,2527377.69,Completed,1030,100,589,68.592692,35.990153
N018,Shurandai,Nangarhar,Darah E Noor,Shurandai,UN-Habitat,Shine Crystal Construction Company,Jan/06/2014,Jan/25/2014,Jun/12/2014,Jun/12/2014,3089127,Completed,1700,100,739,70.599361,34.622407
B007,Taiband Canal,Bamyan,Saighan,Taiband ,UN-Habitat/CARE International,Maidan Zwahnono Construction Company,Mar/23/2013,Apr/13/2013,Oct/13/2013,Oct/13/2013,1240680.5,Completed,559,100,2072,67.656479,35.167336
K002,Tajiki,Kabul,Shakar Dara,Tajiki,CARE International,Masoud Esmat Construction Company,Jun/12/2012,Jul/3/2012,Oct/20/2013,Oct/20/2013,9747810.76,Completed,3960,100,1759,69.153387,34.650887
N005,Teru,Nangarhar,Khiwa,Teru,UN-Habitat,Builtech Construction Company,Oct/14/2012,May/01/2013,Jul/28/2013,Jul/28/2013,1433161.4,Completed,755,100,594,70.546818,34.524696
N001,Upper Safdari,Nangarhar,Kama,Upper Safdari,UN-Habitat,Naimi Construction Company,Jul/13/2013,Jul/25/2013,Dec/19/2013,Dec/19/2013,2439103.8,Completed,770,100,532,70.643634,34.441153
M012,Yakhdan,Balkh,Balkh,Yakhdan,BRAC/CHA,Pamir International Construction Company,Oct/06/2013,Oct/19/2013,Jun/02/2014,Jun/02/2014,2387556,Completed,1000,100,355,66.934106,36.737063
N017,Zafran,Laghman,Qarghayee,Zafran,UN-Habitat,Bakhtar Pairoz Construction Company,Jun/30/2013,Jul/20/2013,Dec/10/2013,Dec/10/2013,1938880,Completed,1075,100,663,70.34397,34.537391
K012,Zanjeer,Kabul,Paghman,Zanjeer,CARE International,Maidan Zwahnono Construction Company,Mar/23/2013,Apr/04/2013,Nov/06/2013,Nov/06/2013,2091964.2,Completed,1030,100,2322,68.952878,34.586956
N016,Zheranda,Kunarha,Narang Wa Badil,Zheranda,UN-Habitat,Hussa Construction Company,Sep/21/2013,Oct/20/2013,Apr/03/2014,,5816853,Ongoing,805,15,761,71.031649,34.753829
N007,Zir Gul,Laghman,Qarghayee,Zir Gul,UN-Habitat,Elham Zaheer Construction Company,Jan/19/2013,Aug/16/2013,Dec/07/2013,Dec/07/2013,1196839,Completed,705,100,630,70.336474,34.522234
N031,Noor Gul,Kunarha,Noor Gul,Noor Gul,UN-Habitat,Shine Crystal Construction Company,Aug/26/2014,Sep/03/2014,Feb/15/2015,Aug/10/2016,8341258.24,Completed,,,,,
N027,Handko,Nangarhar,Kama,Handko,UN-Habitat,Hussa Construction Company,Aug/26/2014,Sep/03/2014,Feb/15/2015,Aug/10/2016,3050758.9,Completed,,,,,
